DrugID,Drug_Target
DB00872,554
DB02638,554
DB00160,16
DB00157,4710
DB00716,5729
DB00157,160287
DB00336,254958
DB01907,254958
DB03147,254958
DB00157,6652
DB01907,6652
DB04478,6652
DB00162,5947
DB00459,5947
DB00308,782
DB00393,782
DB00653,782
DB00661,782
DB01388,782
DB00118,4144
DB00157,4704
DB00129,5009
DB00155,5009
DB02011,5009
DB03519,5009
DB04185,5009
DB00157,374291
DB00171,317
DB03431,317
DB00246,3359
DB00334,3359
DB00363,3359
DB00370,3359
DB00377,3359
DB00604,3359
DB00721,3359
DB00728,3359
DB00757,3359
DB00889,3359
DB00904,3359
DB00969,3359
DB01043,3359
DB01161,3359
DB01199,3359
DB01224,3359
DB01238,3359
DB00157,4717
DB00279,7068
DB00451,7068
DB00509,7068
DB01583,7068
DB02106,7068
DB03176,7068
DB03181,7068
DB03604,7068
DB03788,7068
DB07425,7068
DB08085,7068
DB00114,189
DB00133,189
DB00145,189
DB00160,189
DB02079,189
DB04083,189
DB08060,189
DB00157,3028
DB01907,3028
DB02820,3028
DB00157,56901
DB00115,166785
DB00200,166785
DB00142,8833
DB00232,760
DB00273,760
DB00311,760
DB00436,760
